filename, 15-20, 25-32, 38-43, 4-6, 48-53, 60+, 8-13
6_1_3_20170104222423463-jpg-chip_jpg.rf.caeb868238ca9f56146fe28952c00818.jpg, 0, 0, 0, 1, 0, 0, 0
85_1_0_20170110183935393-jpg-chip_jpg.rf.caec139231ecec3d11d3c452391cbac4.jpg, 0, 0, 0, 0, 0, 1, 0
42_0_0_20170117154809285-jpg-chip_jpg.rf.caf93d70a8d823dc89702318b9a9d5de.jpg, 0, 0, 1, 0, 0, 0, 0
65_0_0_20170117172707792-jpg-chip_jpg.rf.cb277b22e9ff7ea3015b4dcbfcde2300.jpg, 0, 0, 0, 0, 0, 1, 0
61_0_3_20170119211812241-jpg-chip_jpg.rf.cb01ad8c43c5d73dad17605a3c11a7c8.jpg, 0, 0, 0, 0, 0, 1, 0
72_1_0_20170110184104942-jpg-chip_jpg.rf.cac21d0fc657dd2ab0fd680aee0ee4aa.jpg, 0, 0, 0, 0, 0, 1, 0
6_1_3_20161220220051873-jpg-chip_jpg.rf.cb1a75e4a6e7419606ee081cbe34f458.jpg, 0, 0, 0, 1, 0, 0, 0
9_1_0_20170109204626343-jpg-chip_jpg.rf.cb6eba04596267689f46e01d320c3924.jpg, 0, 0, 0, 0, 0, 0, 1
28_1_1_20170112213654111-jpg-chip_jpg.rf.cb08b3d15fcc23f9d3948760801a946a.jpg, 0, 1, 0, 0, 0, 0, 0
17_0_1_20170117183520064-jpg-chip_jpg.rf.cb90868e3deb2e512abfb6a4bf5a9ae0.jpg, 1, 0, 0, 0, 0, 0, 0
53_1_1_20170113013025665-jpg-chip_jpg.rf.cb8a645def966bd29d17fd5f67509c38.jpg, 0, 0, 0, 0, 1, 0, 0
52_0_0_20170117154856649-jpg-chip_jpg.rf.cb1d21ee791683530e8851030fab95e3.jpg, 0, 0, 0, 0, 1, 0, 0
53_0_3_20170119205832000-jpg-chip_jpg.rf.cb00807d8d11c4f6160dd29badd904b1.jpg, 0, 0, 0, 0, 1, 0, 0
5_0_1_20170117193745507-jpg-chip_jpg.rf.cbb011adcbd66fc8465ceafcc0ff2252.jpg, 0, 0, 0, 1, 0, 0, 0
60_0_2_20170116235410721-jpg-chip_jpg.rf.cb21883770859fa793018d874a480ab4.jpg, 0, 0, 0, 0, 0, 1, 0
4_0_2_20170110211530774-jpg-chip_jpg.rf.cb80c9fe98566a9ca09a266a0f167427.jpg, 0, 0, 0, 1, 0, 0, 0
32_0_2_20170104202252010-jpg-chip_jpg.rf.cb76d4f0f35bc46b9f26cf58b66caca0.jpg, 0, 1, 0, 0, 0, 0, 0
20_1_0_20170103163040136-jpg-chip_jpg.rf.cb750109856490ba87e51461938f664a.jpg, 1, 0, 0, 0, 0, 0, 0
38_1_1_20170116222328756-jpg-chip_jpg.rf.cbdda83fe55d89e5ccafe8402666fec8.jpg, 0, 0, 1, 0, 0, 0, 0
85_1_0_20170110182138154-jpg-chip_jpg.rf.cb2234a657b82a1d7f0b3e4dd63624ac.jpg, 0, 0, 0, 0, 0, 1, 0
4_0_2_20161219192408395-jpg-chip_jpg.rf.cb9e51ffcc0b928bfa29469c9c7ce4b9.jpg, 0, 0, 0, 1, 0, 0, 0
26_1_1_20170116164338305-jpg-chip_jpg.rf.cbaa704eaf962fddbcaad49ab7a13952.jpg, 0, 1, 0, 0, 0, 0, 0
5_0_4_20170103212624758-jpg-chip_jpg.rf.cba5bcc3b962321cb4ed62dc72717716.jpg, 0, 0, 0, 1, 0, 0, 0
50_0_3_20170119204603807-jpg-chip_jpg.rf.cbca954dcdbea5ae606c42c5260e348b.jpg, 0, 0, 0, 0, 1, 0, 0
31_0_0_20170117012336960-jpg-chip_jpg.rf.cb413940cd499e9bdf27acf7a5b6c31f.jpg, 0, 1, 0, 0, 0, 0, 0
50_0_0_20170120222217575-jpg-chip_jpg.rf.cc00ed2499f6a1885ec75d4e3cfaaef5.jpg, 0, 0, 0, 0, 1, 0, 0
48_0_1_20170117173143196-jpg-chip_jpg.rf.cc09b320e9ed124a5b3319206b9ff8ae.jpg, 0, 0, 0, 0, 1, 0, 0
50_0_1_20170113134715664-jpg-chip_jpg.rf.cc1cb2bfa1bca51e6ded1dd20174a260.jpg, 0, 0, 0, 0, 1, 0, 0
26_1_1_20170116174149455-jpg-chip_jpg.rf.cc05f33717dd4908d86b63c0f27df919.jpg, 0, 1, 0, 0, 0, 0, 0
65_1_0_20170117190355010-jpg-chip_jpg.rf.cc3f4c9977d1a76d40bcfba65ff33875.jpg, 0, 0, 0, 0, 0, 1, 0
18_1_0_20170117140504776-jpg-chip_jpg.rf.cc2a022a0f6851eb879dadaae68e1261.jpg, 1, 0, 0, 0, 0, 0, 0
5_0_1_20170112191417872-jpg-chip_jpg.rf.cc70ff8929b259f15265c1a904f1c254.jpg, 0, 0, 0, 1, 0, 0, 0
38_1_0_20170105001437325-jpg-chip_jpg.rf.cc604d5552179c927cefa6c3bc220fd1.jpg, 0, 0, 1, 0, 0, 0, 0
15_1_4_20170103201254359-jpg-chip_jpg.rf.cbf1f80459737421cfeef03f5ae46c15.jpg, 1, 0, 0, 0, 0, 0, 0
11_1_2_20170104005111615-jpg-chip_jpg.rf.cc25364649bee98c5c4a32330cda3790.jpg, 0, 0, 0, 0, 0, 0, 1
53_0_0_20170104205937252-jpg-chip_jpg.rf.cc0561e146753f79751c1fce27a68e0c.jpg, 0, 0, 0, 0, 1, 0, 0
67_0_1_20170117172054412-jpg-chip_jpg.rf.cc8d7a3813e13facd27ceb9951198073.jpg, 0, 0, 0, 0, 0, 1, 0
9_0_0_20170110225510191-jpg-chip_jpg.rf.cc08bb2830f664ed7d252e8789226b8c.jpg, 0, 0, 0, 0, 0, 0, 1
13_0_0_20170110225302179-jpg-chip_jpg.rf.cbf6bb18b4265a7f741d96a5213e7306.jpg, 0, 0, 0, 0, 0, 0, 1
5_0_1_20170103205158426-jpg-chip_jpg.rf.ccac6d1ba57d5d2fa107e72421026868.jpg, 0, 0, 0, 1, 0, 0, 0
11_1_0_20170109204641514-jpg-chip_jpg.rf.cc6c6461a04a99440765e6bd2642847a.jpg, 0, 0, 0, 0, 0, 0, 1
11_1_0_20170109204614249-jpg-chip_jpg.rf.ccaafd626aad6c84095d9841eeb9325a.jpg, 0, 0, 0, 0, 0, 0, 1
52_1_0_20170103163659575-jpg-chip_jpg.rf.cc81c78f01a32e81ed6a3b62c18e3d03.jpg, 0, 0, 0, 0, 1, 0, 0
39_1_2_20170116164304221-jpg-chip_jpg.rf.cc21ea07a2510ab37945451644469e8c.jpg, 0, 0, 1, 0, 0, 0, 0
10_0_0_20170110215927291-jpg-chip_jpg.rf.cc06e2a2f045951ec9efa3bcdb675c36.jpg, 0, 0, 0, 0, 0, 0, 1
52_0_4_20170104212325060-jpg-chip_jpg.rf.cc5a3d440c090ca622e9086dfe53896b.jpg, 0, 0, 0, 0, 1, 0, 0
78_0_0_20170111221741900-jpg-chip_jpg.rf.cc9664373629e59fec3767755252b31e.jpg, 0, 0, 0, 0, 0, 1, 0
